"ChimpHumanClade_",,"1"
"Homininae",312031,"2"
"Hominidae",770311,"3"
"Hominoidea",386191,"4"
"Catarrhini",842867,"5"
"Simiiformes",386195,"6"
"Haplorrhini",702152,"7"
"Primates",913935,"8"
"Clade305_",,"9"
"Euarchonta",,"10"
"Euarchontoglires",392222,"11"
"Boreoeutheria",5334778,"12"
"Eutheria",683263,"13"
"Theria",229558,"14"
"Mammalia",244265,"15"
"Amniota",229560,"16"
"Tetrapoda",229562,"17"
"Dipnotetrapodomorpha",4940726,"18"
"Sarcopterygii",458402,"19"
"Euteleostomi",114654,"20"
"Gnathostomata",278114,"21"
"Vertebrata",801601,"22"
"ChordataMinusAmphioxus_",,"23"
"Chordata",125642,"24"
"Deuterostomia",147604,"25"
"Nephrozoa",,"26"
"Bilateria",117569,"27"
"BilatCnid_",,"28"
"BiCnCt_",,"29"
"BiCnCtPl_",,"30"
"Metazoa",691846,"31"
"CollarClade_",,"32"
"Filozoa",,"33"
"Holozoa",5246131,"34"
"Opisthokonta",332573,"35"
"Amorphea_minus_amoebozoa_",,"36"
"Amorphea",,"37"
"Eukaryota",304358,"38"
"LE_clade_",,"39a"
"TACKLE_clade_",,"39b"
"TACKLED_clade_",,"39c"
"AllArchaeaAndEukaryotes_",,"39d"