 "Stramenopiles",266745,,,,,,"61e2982f-07d4-44db-ac00-27a2d86ca855"
 "Rhizaria",6929,,,,,,"4150d237-b940-4ce3-a370-7d09c67341d8"
 "Alveolata",266751,,,,,,"77801963-4647-4921-9c6a-44ab9beb3917"
 "Problematic_eukaryotes",,,,
 "Glaucophyta",664970,,,,,,"93bfcf39-8526-4b25-a8c0-b89d3fca166b"
 "Chloroplastida",361838,,,,,,"bc7b7eb5-c208-4a24-9287-eaf5118e8887"
 "Rhodophyceae",878953,,,,,,"caa6414d-cd58-460f-80f7-6c8e991dfcf8"
 "Excavata",2927065,,,,,,"083d187a-5b1b-478c-980b-31ad91f865fa"
 "Korarchaeota",266344,,,
 "Apusomonadidae",,,,,,,"9c8a877f-9814-46a6-b22d-15520ed3fb8c"
 "Ancyromonadidae",415970,,,
 "Breviatea",5246141,,,,,,"e789d31d-cadf-42be-9508-58be6e2a5fff"
 "Amoebozoa",1064655,,,,,,"e867cfcd-5344-4b4f-9845-80bfb554b394"
 "Opisthosporidia",,,,,,,"2271a5ed-5822-4902-b7c6-079a7e54ccbd"
 "Discicristoidea",5246837,,,
 "Chytridiomycetes",506248,,,,,,"f72ec90f-d008-4908-a7e6-582e04814f95"
 "Mucoromycotina",564951,,,,,,"8cff2d66-6549-44d2-8304-d2dfecf53d78"
 "Glomeromycota",385878,,,
 "Dikarya",,,,,,,"afd875a3-815f-443b-9b93-3e5bedd9a7a3"
 "Ichthyosporea",623671,,,,,,"dd39d950-11fb-4957-a320-51251ac34182"
 "Filasterea",5246833,,,,,,"218fbfc5-342b-481d-80a5-96a38a236804"
 "Choanoflagellida",5246832,,,,,,"47a4624d-1238-4a8e-b574-887a0ca4632a"
 "Porifera",67819,,,,,,"3449d9ef-2900-4309-bf22-5262c909344b"
 "Ctenophora",641212,,,,,,"5672a6f8-b1a2-4dfd-88c0-6048b4fd0202"
 "Anthozoa",1084488,,,,,,"23e078d5-e7d3-42e6-b747-16345db5379c"
 "Medusozoa",,,,,,,"c2ee151e-b4e1-4cd8-9d33-3cc81bdbefd2"
 "Myxozoa",412087,,,
 "Acoelomorpha",543718,,,,,,"164e4b97-56d8-4d40-825a-e0ff94264df4"
 "Arthropoda",632179,,,,,,"1793820e-0c58-44e7-80aa-96c9bd700f3f"
 "Onychophora",1072433,,,,,,"521a05b5-ecb2-4959-9ab8-cfc4f74b2ef9"
 "Tardigrada",111438,,,,,,"3c62f62f-63f9-4ac1-84f2-781e074c087b"
 "Scalidophora",434620,,,,,,"2b3c789c-40a6-4377-be60-b966cb0facba"
 "Nematomorpha",189836,,,,,,"d8d40fa9-9cc9-4f6f-bb40-1e769d8c4595"
 "Nematoda",395057,,,,,,"7a056405-8d3e-4b1e-9368-4df1e9437e47"
 "Chaetognatha",570366,,,,,,"d618a8b2-5408-4df1-aebe-5ca88abd6e49"
 "Polyzoa",400508,,,,,,"191ad6ce-78f2-444d-b4ad-9c4162b1803f"
 "Platyzoa",,,,,,,"49c69950-a543-4927-af79-7846242147e3"
 "Annelida",941620,,,,,,"2dee030d-9f6d-4bab-87c4-c46869839b30"
 "Nemertea",445195,,,,,,"429429ed-d07d-463f-9316-62c7adde7e71"
 "Lophophorata",,,,,,,"80639d7b-0856-45c1-ab44-7f075accda89"
 "Mollusca",802117,,,,,,"9da7781e-48eb-407d-a13f-d6de8954dde2"
 "Echinodermata",451020,,,,,,"0adc540a-d1c1-4dd8-bc4d-e258077c5dbd"
 "Hemichordata",100746,,,,,,"f4222834-7587-4b9f-b35c-029e025f13bb"
 "Myxiniformes",852676,,,,,,"d27d68c5-5756-4534-ad3b-13ff8ef7080d"
 "Petromyzontiformes",1067466,,,,,,"0f9a5ec1-1a71-4b09-be43-ce711dfdad0e"
 "Tunicata",125649,,,,,,"5d3b9ac1-245e-4940-a65c-7109d9318fc9"
 "Cephalochordata",176555,,,,,,"0d56f817-419e-4d0f-965c-de18b5d7ee40"
 "Holocephali",550652,,,,,,"b9e3dfaa-a0da-4b39-b935-3fc358023b79"
 "Batoidea",195928,,,,,,"914af720-568d-47ef-ada8-ed5a10660266"
 "Selachii",78477,,,,,,"545d45f0-0dd1-4cfd-aad6-2b835223ea0d"
 "Latimeria",3621455,,,,,,"54d7cfdf-9ff5-48a3-b8b9-f3b315414c66"
 "Dipnoi",29500,,,,,,"de33e9bd-643d-4a68-a3c4-c3206f9b508e"
 "Polypteriformes",458427,,,,,,"6d16ae40-b1b2-4b67-a161-2fd1eb7b0024"
 "Acipenseriformes",773489,,,,,,"5ce55e7c-827d-4049-b128-ae0bc8fb2981"
 "Elopomorpha",229564,,,,,,"629e1135-d0c5-4f02-bb13-8cbf63e48692"
 "Osteoglossomorpha",291995,,,,,,"ad7e6eb0-82fe-4c1a-9b3b-e07fe42d3890"
 "Otomorpha",761450,,,,,,"199829d3-183a-4eb3-a35a-a8705d28cb56"
 "Otocephala",761450,,,,,,"199829d3-183a-4eb3-a35a-a8705d28cb56"
 "Holostei",5502194,,,,,,"c957bd69-9ca4-465e-b86e-f28824ab739d"
 "Neoteleostei",108736,,,,,,"9c929b7e-5daf-4a4d-a119-d8309508f1f8"
 "Protacanthopterygii",1024043,,,,,,"e11a3135-cfe1-4f8a-8e1e-1824fef0e833"
 "Stomiatii",5521753,,,,,,"5400612d-8088-470b-a7b0-36ecde18bbaf"
 "Gymnophiona",118027,,,,,,"589b533e-85c0-4180-8e3a-537f898258c3"
 "Salientia",991547,,,,,,"81188abc-d825-41a8-bf27-20538cd2201f"
 "Caudata",984716,,,,,,"ec100ec3-fcc5-473a-8abe-1eca372967ea"
 "Palaeognathae",81443,,,,,,"90ffa1db-414f-4f7e-8beb-9c54d1eb4cb9"
 "Clade30_",,,,,,,"dffda000-77cb-4251-b837-0cd2ab21ed5b"
 "Testudines",639666,,,,,,"35c35a57-173f-424a-9f1a-8f4ccaddbae6"
 "Clade112_",,,,,,,"f21cdb39-67c2-489e-873c-c2d812f884b5"
 "Clade114_",,,,,,,"3dc70587-4e15-4f59-a246-4ec21390957b"
 "GALLIFORMES",837585,,,,,,"a93b67a0-15d5-4835-938b-212928ec6901"
 "ANSERIFORMES",241841,,,,,,"67382184-5135-4faa-8e98-eadff02c3e8a"
 "Clade166_",,,,,,,"679605a3-95f1-4f57-be33-568640aca7b9"
 "Clade34_",,,,,,,"9aca34d8-4dde-418d-9fdc-2d58b6a7b267"
 "Clade265_",,,,,,,"01bbffec-312c-493a-bcd3-e9361ed3435d"
 "Clade266a_",,,,,,,"3c4ef873-76b5-473d-a740-8fcb4864462b"
 "Clade109_",,,,,,,"50d51d00-2169-41fc-9c32-1b8c35a7e1bd"
 "Tachyglossidae",344064,,,,,,"ea61f51e-9929-46db-a050-22f14a1d376a"
 "Pan",417957,,,,,,"2f7da8c8-897a-445e-b003-b3955ad08850"
 "Gorilla",417969,,,,,,"d9af529d-e426-4c7a-922a-562d57a7872e"
 "Pongo",417949,,,,,,"67144c22-93c2-4dc0-ba13-9f9dd2d223b9"
 "Lorisiformes",702145,,,
 "_Lemurs_minus_ayeaye",,,,,,,"bac25f49-97a4-4aec-beb6-f542158ebd23"
 "Pitheciidae",909605,,,,,,"862257d9-5a44-42e7-9866-d603271763ad"
 "Atelidae",1056467,,,,,,"aceb287d-84cf-46f1-868c-4797c4ac54a8"
 "Cebidae",489215,,,,,,"156b515d-f25c-4497-b15b-5afb832cc70c"
 "Callitrichidae",1015234,,,,,,"e5b0cde8-beab-48dc-b77c-d48b16c6a05e"
 "Aotus",791708,,,
 "Papionina",,,,,,,"eccbb404-c99f-41f9-8785-01a7f57f1269"
 "Macaca",268324,,,,,,"eedde61f-3402-4f7c-9350-49b74f5e1dba"
 "Clade3192_",,,,,,,"eccbb404-c99f-41f9-8785-01a7f57f1269"
 "Cercopithecini",,,,,,,"ebf7b813-a4fa-47bf-bc9e-f09e043393ce"
 "Clade2591_",,,,
 "Colobina",,,,,,,"899742c2-9a40-4fa0-b2cd-2eb133c8f6e8"
 "Clade2593_",,,,
 "Presbytina",,,,,,,"648ed122-6b72-4c69-91f5-bf6c2bf75c78"
 "Clade2594_",,,,
 "Hylobatidae",166544,,,,,,"0174801d-15a6-4668-bfe0-4c421fbe51e8"
 "SCANDENTIA",574734,,,,,,"88a07585-846a-405d-9195-c15c010e7443"
 "DERMOPTERA",987673,,,,,,"31c7a540-3d0a-4bb8-a43d-e6fa460a3c1d"
 "Tarsius",339047,,,,,,"f598fb39-facf-43ea-a576-1861304b2fe4"
 "TARSIIFORMES",702151,,,,,,"f598fb39-facf-43ea-a576-1861304b2fe4"
 "Castoridae",835319,,,,,,"0b9b783b-b537-4fa6-b387-a9ca2d3f7a12"
 "Geomyoidea",,,,,,,"1cb96e53-3961-4465-825a-7131940038a2"
 "Sciuridae",384218,,,,,,"ccd069b9-bb65-471e-85df-25850a17b300"
 "Gliridae",4941180,,,,,,"bd3d2bc1-915c-4fa6-99b8-9a5fc6b725e0"
 "Leporidae",644258,,,,,,"dea688b6-9168-4e79-a106-366888148eb1"
 "Ochotonidae",644239,,,,,,"9c4f95fb-8bf0-49c8-ac63-d16746bb5e1d"
 "Clade901_",,,,
 "ANOMALUROMORPHA",,,,,,,"6248a40a-31f3-4710-8074-2dc5ae7d371d"
 "MYOMORPHA",,,,,,,"64eb444b-e0ae-4517-9f7b-827bd38e2f47"
 "HystricomorphsMinusEarlyBranch_",,,,,,,"cf85f532-c0c2-40ba-ae83-47846caf1514"
 "VERMILINGUA",495016,,,,,,"d52b48fc-be52-46a1-94b7-ac7790b4730c"
 "Clade119_",,,,,,,"5d59b5ce-c1dd-40f6-b295-8d2629b9775e"
 "FOLIVORA",495015,,,,,,"925fa570-10d9-4319-bd8a-e64ad7987900"
 "Cetartiodactyla",3615249,,,,,,"72c02812-d2c8-4d0d-83ce-3f0677a01ace"
 "PERISSODACTYLA",541948,,,,,,"e51a220b-4a86-45c1-9e08-2600b21b5913"
 "Insectivora",796664,,,,,,"865dbf6d-15d6-4940-b0ac-e42dc82e0891"
 "PHOLIDOTA",644252,,,,,,"edf21703-0717-4b41-a175-89b55ee7966b"
 "CARNIVORA",44565,,,,,,"e2015ba3-4f7e-4950-9bde-005e8678d77b"
 "Pteropodidae",574742,,,,,,"67cabefd-ff54-4450-b824-0704378924e0"
 "Microchiroptera",603783,,,,,,"18bfd2fc-f184-4c3a-b511-796aafcc70f6"
 "PROBOSCIDEA",226176,,,,,,"7c9ab182-175d-4f02-96d0-09c1e5212bff"
 "HYRACOIDEA",561107,,,,,,"bae84fd8-937a-4390-b123-0a22bfcd7df7"
 "SIRENIA",226183,,,,,,"d88fc903-0deb-4b78-b2fd-7c15d206d3f9"
 "MACROSCELIDEA",604023,,,,,,"b2a34ebf-1eab-4ddc-a926-af305a20828b"
 "AFROSORICIDA",5792483,,,,,,"7777eeb6-87bd-48c2-ba02-15cc8e2bfac9"
 "DIDELPHIMORPHIA",277697,,,,,,"91324e57-b3f1-42e0-abe3-43e5bc8aa4c6"
 "PERAMELEMORPHIA",852221,,,,,,"8d463089-2dec-4ddf-9064-8cd021c4e986"
 "DIPROTODONTIA",277679,,,,,,"c306572a-fae1-41e3-8208-c2bce972e0ef"
 "PAUCITUBERCULATA",277698,,,,,,"f34ca418-a0d9-4ed7-bc3c-a74bcdeae443"
 "DASYUROMORPHIA",277678,"Tasmanian devil,,,"26864848",,,"58cc56c2-5a36-4031-be9f-28c86f77963c"